Age,Gender,Marital_Status,Education,Employment_Type,Annual_Income,Loan_Amount,Loan_Term,Credit_Score,Existing_Loans,DTI_Ratio,Savings_Amount,Collateral_Value,Loan_Status
31,Male,Single,Not Graduate,Salaried,1251317.0,239198.0,48,591.0,2,0.06,317781,362604,Approved
37,Male,Married,Not Graduate,Salaried,564911.0,245763.0,48,382.0,0,0.14,46316,0,Rejected
17,Female,Married,Not Graduate,Student,17637.0,50000.0,60,670.0,1,0.76,1013,0,Rejected
34,Male,Married,Not Graduate,Salaried,1274198.0,661338.0,12,459.0,0,0.55,278935,0,Rejected
33,Male,Single,Not Graduate,Salaried,555259.0,67479.0,12,571.0,3,0.13,271323,0,Approved
45,Male,Married,Graduate,Self-Employed,524228.0,170570.0,12,583.0,3,0.35,126730,0,Approved
58,Female,Single,Graduate,Salaried,1479955.0,860089.0,36,661.0,2,0.13,672417,0,Approved
31,Male,Single,Graduate,Salaried,550062.0,168882.0,60,541.0,0,0.08,166156,0,Approved
52,Female,Married,Graduate,Salaried,728114.0,350185.0,48,458.0,0,0.15,275887,0,Approved
18,Female,Single,Not Graduate,Student,2799785.0,50000.0,60,677.0,3,0.43,772,0,Rejected
40,Male,Married,Not Graduate,Salaried,687837.0,220387.0,48,657.0,2,0.1,98389,0,Approved
20,Female,Single,Graduate,Unemployed,22556.0,50000.0,36,648.0,3,0.88,4919,0,Rejected
31,Male,Married,Graduate,Self-Employed,429810.0,231091.0,36,387.0,0,0.21,42584,362010,Approved
46,Male,Single,Graduate,Self-Employed,1385859.0,527595.0,12,609.0,3,0.41,618871,302498,Approved
41,Female,Married,Not Graduate,Self-Employed,1996383.0,715579.0,24,404.0,0,0.2,393997,222568,Rejected
38,Female,Married,Not Graduate,Salaried,593160.0,119652.0,48,609.0,3,0.06,227845,0,Approved
55,Female,Married,Graduate,Salaried,444365.0,205900.0,12,565.0,0,0.49,33658,0,Rejected
48,Male,Married,Graduate,Salaried,540189.0,289655.0,60,367.0,0,0.14,109914,0,Approved
39,Male,Single,Not Graduate,Self-Employed,1403750.0,807462.0,12,691.0,1,0.61,341324,197027,Rejected
51,Male,Single,Not Graduate,Unemployed,1141074.0,672038.0,36,643.0,3,0.23,464202,0,Approved
39,Male,Single,Not Graduate,Salaried,1485065.0,671374.0,12,569.0,3,0.48,219916,0,Rejected
51,Female,Married,Graduate,Salaried,1287832.0,739077.0,36,599.0,3,0.23,83476,0,Approved
39,Female,Married,Not Graduate,Self-Employed,1933228.0,69557.0,12,388.0,0,0.04,114884,0,Approved
58,Male,Single,Graduate,Salaried,557536.0,271662.0,24,389.0,0,0.28,86714,0,Approved
39,Male,Single,Not Graduate,Self-Employed,1172965.0,123615.0,60,454.0,0,0.03,404881,0,Approved
24,Male,Married,Not Graduate,Part-Time,90036.0,53625.0,36,669.0,3,0.24,32245,0,Rejected
58,Male,Single,Graduate,Salaried,1167782.0,493765.0,48,582.0,2,0.13,429580,0,Approved
33,Male,Single,Not Graduate,Self-Employed,1032948.0,151396.0,12,571.0,3,0.16,125185,391026,Approved
18,Female,Married,Not Graduate,Unemployed,20232.0,50000.0,24,634.0,1,1.0,6864,291792,Rejected
54,Female,Single,Graduate,Salaried,589702.0,345021.0,24,631.0,2,0.33,169960,0,Approved
27,Female,Married,Graduate,Self-Employed,1625769.0,961548.0,12,589.0,3,0.63,50844,0,Rejected
17,Female,Single,Not Graduate,Student,12719.0,50000.0,12,351.0,0,1.0,3134,0,Rejected
17,Male,Single,Graduate,Student,30546.0,50000.0,36,620.0,3,0.65,7780,182205,Approved
45,Female,Single,Graduate,Self-Employed,1705049.0,959790.0,24,556.0,2,0.32,115934,0,Approved
21,Female,Married,Not Graduate,Salaried,322702.0,326087.0,48,568.0,2,0.18,36441,0,Approved
25,Male,Married,Graduate,Part-Time,154039.0,79976.0,48,671.0,1,0.16,30263,0,Rejected
43,Male,Single,Graduate,Self-Employed,1548127.0,256504.0,24,565.0,3,0.09,48309,0,Rejected
57,Male,Single,Graduate,Self-Employed,,,48,,2,0.14,409755,0,Approved
58,Female,Single,Not Graduate,Self-Employed,484027.0,222991.0,12,669.0,3,0.49,41232,0,Rejected
54,Female,Married,Not Graduate,Student,1365430.0,314749.0,24,664.0,2,0.13,168730,0,Approved
33,Female,Married,Graduate,Self-Employed,1448606.0,475029.0,12,611.0,1,0.35,531978,351596,Approved
54,Female,Single,Not Graduate,Self-Employed,719785.0,209993.0,12,645.0,2,0.31,262865,0,Approved
17,Female,Married,Not Graduate,Unemployed,6713.0,50000.0,60,560.0,2,1.0,3237,0,Rejected
